,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
0,2.0,8.0,2.0,10.0,3.0,14.0,11.0,17.0,9.0,13.0,8.0,6.0,12.0,13.0,13.0,14.0
1,9.0,4.0,7.0,6.0,6.0,1.0,3.0,3.0,3.0,8.0,3.0,2.0,2.0,2.0,2.0,1.0
2,3.0,8.0,8.0,5.0,6.0,5.0,7.0,4.0,4.0,6.0,9.0,12.0,8.0,9.0,9.0,9.0
3,9.0,14.0,4.0,12.0,4.0,15.0,14.0,12.0,9.0,18.0,8.0,12.0,13.0,13.0,13.0,14.0
4,12.0,16.0,15.0,11.0,3.0,6.0,9.0,12.0,9.0,6.0,13.0,5.0,6.0,6.0,5.0,5.0
5,3.0,3.0,0.0,6.0,6.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0
6,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,9.0,12.0,3.0,3.0,3.0,3.0
7,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
9,0.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,3.0,3.0,6.0,4.0,2.0,2.0,2.0,2.0
10,7.0,6.0,0.0,6.0,0.0,4.0,8.0,1.0,16.0,7.0,16.0,5.0,10.0,11.0,12.0,12.0
11,10.0,9.0,9.0,6.0,18.0,25.0,27.0,8.0,20.0,17.0,20.0,14.0,21.0,22.0,22.0,23.0
12,9.0,5.0,7.0,5.0,6.0,14.0,21.0,15.0,7.0,5.0,5.0,12.0,11.0,11.0,11.0,11.0
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,3.0,3.0,3.0,3.0,6.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0
15,2.0,3.0,4.0,0.0,1.0,2.0,0.0,6.0,1.0,8.0,19.0,13.0,12.0,13.0,14.0,15.0
16,10.0,10.0,3.0,6.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
17,9.0,4.0,8.0,3.0,11.0,9.0,6.0,9.0,9.0,8.0,2.0,15.0,9.0,10.0,10.0,10.0
18,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
19,4.0,9.0,9.0,11.0,8.0,15.0,13.0,10.0,2.0,6.0,10.0,5.0,8.0,7.0,7.0,7.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
21,3.0,12.0,8.0,7.0,6.0,6.0,12.0,0.0,12.0,6.0,4.0,11.0,8.0,8.0,8.0,8.0
22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0
23,25.0,11.0,9.0,26.0,34.0,11.0,11.0,14.0,10.0,9.0,6.0,6.0,5.0,4.0,3.0,1.0
24,9.0,22.0,6.0,20.0,11.0,14.0,11.0,18.0,11.0,9.0,18.0,19.0,16.0,16.0,16.0,16.0
25,7.0,3.0,7.0,1.0,1.0,3.0,0.0,6.0,3.0,3.0,0.0,11.0,4.0,4.0,4.0,4.0
26,4.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,9.0,2.0,2.0,2.0,2.0
27,19.0,9.0,3.0,11.0,1.0,14.0,4.0,6.0,11.0,7.0,8.0,9.0,7.0,6.0,6.0,6.0
28,0.0,3.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0
29,8.0,2.0,2.0,0.0,9.0,9.0,7.0,8.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0
30,6.0,7.0,18.0,9.0,6.0,4.0,10.0,7.0,16.0,13.0,21.0,6.0,13.0,14.0,14.0,15.0
31,13.0,18.0,4.0,11.0,6.0,9.0,6.0,9.0,9.0,9.0,9.0,12.0,8.0,8.0,8.0,8.0
32,13.0,17.0,6.0,19.0,10.0,15.0,11.0,12.0,18.0,11.0,5.0,2.0,7.0,6.0,6.0,5.0
33,6.0,9.0,0.0,6.0,1.0,4.0,3.0,5.0,9.0,18.0,18.0,2.0,11.0,12.0,12.0,13.0
34,6.0,3.0,2.0,4.0,5.0,3.0,2.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0
35,3.0,8.0,2.0,12.0,4.0,8.0,5.0,1.0,9.0,8.0,5.0,12.0,8.0,9.0,9.0,9.0
36,5.0,9.0,12.0,12.0,8.0,12.0,12.0,9.0,16.0,7.0,10.0,0.0,8.0,8.0,8.0,7.0
37,9.0,8.0,7.0,6.0,5.0,10.0,6.0,12.0,6.0,15.0,14.0,16.0,14.0,15.0,16.0,16.0
38,3.0,5.0,0.0,3.0,2.0,0.0,4.0,8.0,3.0,9.0,18.0,16.0,14.0,15.0,16.0,17.0
39,11.0,8.0,12.0,10.0,8.0,5.0,4.0,10.0,4.0,8.0,7.0,6.0,5.0,5.0,4.0,4.0
40,1.0,3.0,3.0,4.0,3.0,0.0,6.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
41,15.0,12.0,9.0,9.0,12.0,12.0,0.0,26.0,8.0,3.0,1.0,0.0,3.0,2.0,1.0,-0.0
42,5.0,0.0,4.0,3.0,5.0,0.0,13.0,1.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0
43,6.0,7.0,5.0,2.0,1.0,3.0,0.0,5.0,3.0,1.0,3.0,1.0,1.0,0.0,-0.0,-0.0
44,16.0,6.0,9.0,6.0,11.0,19.0,27.0,30.0,21.0,18.0,8.0,23.0,23.0,24.0,25.0,26.0
45,12.0,21.0,9.0,8.0,14.0,4.0,11.0,16.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
46,7.0,22.0,18.0,15.0,21.0,22.0,21.0,12.0,17.0,6.0,12.0,7.0,11.0,10.0,9.0,9.0
47,14.0,9.0,7.0,4.0,6.0,5.0,2.0,2.0,9.0,7.0,9.0,9.0,6.0,6.0,6.0,5.0
48,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,7.0,5.0,0.0,1.0,6.0,2.0,4.0,7.0,1.0,9.0,2.0,0.0,3.0,3.0,3.0,2.0
50,8.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,3.0,3.0,3.0,3.0
51,2.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
