SKU,LOC,FECHA,UNI
Art01,LOC_001,2019-04-07,2.0
Art01,LOC_001,2019-04-14,8.0
Art01,LOC_001,2019-04-21,2.0
Art01,LOC_001,2019-04-28,10.0
Art01,LOC_001,2019-05-05,3.0
Art01,LOC_001,2019-05-12,14.0
Art01,LOC_001,2019-05-19,11.0
Art01,LOC_001,2019-05-26,17.0
Art01,LOC_001,2019-06-02,9.0
Art01,LOC_001,2019-06-09,13.0
Art01,LOC_001,2019-06-16,8.0
Art01,LOC_001,2019-06-23,6.0
Art01,LOC_002,2019-04-07,9.0
Art01,LOC_002,2019-04-14,4.0
Art01,LOC_002,2019-04-21,7.0
Art01,LOC_002,2019-04-28,6.0
Art01,LOC_002,2019-05-05,6.0
Art01,LOC_002,2019-05-12,1.0
Art01,LOC_002,2019-05-19,3.0
Art01,LOC_002,2019-05-26,3.0
Art01,LOC_002,2019-06-02,3.0
Art01,LOC_002,2019-06-09,8.0
Art01,LOC_002,2019-06-16,3.0
Art01,LOC_002,2019-06-23,2.0
Art01,LOC_003,2019-04-07,3.0
Art01,LOC_003,2019-04-14,8.0
Art01,LOC_003,2019-04-21,8.0
Art01,LOC_003,2019-04-28,5.0
Art01,LOC_003,2019-05-05,6.0
Art01,LOC_003,2019-05-12,5.0
Art01,LOC_003,2019-05-19,7.0
Art01,LOC_003,2019-05-26,4.0
Art01,LOC_003,2019-06-02,4.0
Art01,LOC_003,2019-06-09,6.0
Art01,LOC_003,2019-06-16,9.0
Art01,LOC_003,2019-06-23,12.0
Art01,LOC_004,2019-04-07,9.0
Art01,LOC_004,2019-04-14,14.0
Art01,LOC_004,2019-04-21,4.0
Art01,LOC_004,2019-04-28,12.0
Art01,LOC_004,2019-05-05,4.0
Art01,LOC_004,2019-05-12,15.0
Art01,LOC_004,2019-05-19,14.0
Art01,LOC_004,2019-05-26,12.0
Art01,LOC_004,2019-06-02,9.0
Art01,LOC_004,2019-06-09,18.0
Art01,LOC_004,2019-06-16,8.0
Art01,LOC_004,2019-06-23,12.0
Art01,LOC_005,2019-04-07,12.0
Art01,LOC_005,2019-04-14,16.0
Art01,LOC_005,2019-04-21,15.0
Art01,LOC_005,2019-04-28,11.0
Art01,LOC_005,2019-05-05,3.0
Art01,LOC_005,2019-05-12,6.0
Art01,LOC_005,2019-05-19,9.0
Art01,LOC_005,2019-05-26,12.0
Art01,LOC_005,2019-06-02,9.0
Art01,LOC_005,2019-06-09,6.0
Art01,LOC_005,2019-06-16,13.0
Art01,LOC_005,2019-06-23,5.0
Art01,LOC_006,2019-04-07,3.0
Art01,LOC_006,2019-04-14,3.0
Art01,LOC_006,2019-04-21,0.0
Art01,LOC_006,2019-04-28,6.0
Art01,LOC_006,2019-05-05,6.0
Art01,LOC_006,2019-05-12,3.0
Art01,LOC_006,2019-05-19,0.0
Art01,LOC_006,2019-05-26,0.0
Art01,LOC_006,2019-06-02,3.0
Art01,LOC_006,2019-06-09,0.0
Art01,LOC_006,2019-06-16,3.0
Art01,LOC_006,2019-06-23,0.0
Art01,LOC_007,2019-04-07,3.0
Art01,LOC_007,2019-04-14,0.0
Art01,LOC_007,2019-04-21,3.0
Art01,LOC_007,2019-04-28,0.0
Art01,LOC_007,2019-05-05,0.0
Art01,LOC_007,2019-05-12,2.0
Art01,LOC_007,2019-05-19,0.0
Art01,LOC_007,2019-05-26,0.0
Art01,LOC_007,2019-06-02,0.0
Art01,LOC_007,2019-06-09,3.0
Art01,LOC_007,2019-06-16,9.0
Art01,LOC_007,2019-06-23,12.0
Art01,LOC_008,2019-04-07,2.0
Art01,LOC_008,2019-04-14,0.0
Art01,LOC_008,2019-04-21,0.0
Art01,LOC_008,2019-04-28,5.0
Art01,LOC_008,2019-05-05,3.0
